function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
88;BSM_original_nocompil;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()();;17.975799560547;0.5949998497963;0;0;0;0;0;17.975799560547;0.5949998497963;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEclEv;;
89;libgcc_s.so.1;__multf3;;12.537740707397;0.41499981284142;0;0;0;0;0;12.537740707397;0.41499981284142;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__multf3;;
96;BSM_original_nocompil;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();;10.725057601929;0.35499995946884;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EE11_M_gen_randEv;;
78;BSM_original_nocompil;double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&);;10.422944068909;0.34499996900558;0;0;0;0;0;7.4018006324768;0.24499997496605;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_;;
114;libgcc_s.so.1;__trunctfdf2;;8.4592008590698;0.27999997138977;0;0;0;0;0;8.4592008590698;0.27999997138977;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__trunctfdf2;;
41;BSM_original_nocompil;double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<double>::param_type const&);;8.1570863723755;0.26999995112419;0;0;0;0;0;4.6827721595764;0.15499998629093;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt19normal_distributionIdEclISt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEEEdRT_RKNS0_10param_typeE;;
258;libm-2.26.so;__exp_finite;;7.0996875762939;0.23499999940395;0;0;0;0;0;7.0996875762939;0.23499999940395;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__exp_finite;;
273;libm-2.26.so;__ieee754_log;;6.0422873497009;0.20000001788139;0;0;0;0;0;6.0422873497009;0.20000001788139;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__ieee754_log;;
82;libm-2.26.so;__sqrt;;5.2870006561279;0.17499998211861;0;0;0;0;0;5.2870006561279;0.17499998211861;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__sqrt;;
86;libm-2.26.so;__GI___exp;;4.2296004295349;0.13999998569489;0;0;0;0;0;4.2296004295349;0.13999998569489;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__GI___exp;;
